filename, n_bodies, n_steps, n_threads, version, time, n_procs
sequential, 100, 100, 1, 0, 0.013403, 1
sequential, 100, 100, 1, 1, 0.008256, 1
sequential, 1000, 100, 1, 0, 1.272224, 1
sequential, 1000, 100, 1, 1, 2.353252, 1
sequential, 100, 1000, 1, 0, 0.126175, 1
sequential, 100, 1000, 1, 1, 0.082384, 1
sequential, 1000, 1000, 1, 0, 12.668488, 1
sequential, 1000, 1000, 1, 1, 23.835628, 1
sequential, 100, 10000, 1, 0, 1.269057, 1
sequential, 100, 10000, 1, 1, 0.826987, 1
sequential, 1000, 10000, 1, 0, 127.108559, 1
sequential, 1000, 10000, 1, 1, 234.583785, 1
pthread, 100, 100, 1, 0, 0.014233, 1
pthread, 100, 100, 2, 0, 0.013511, 1
pthread, 100, 100, 4, 0, 0.014494, 1
pthread, 100, 100, 8, 0, 0.027422, 1
pthread, 100, 100, 16, 0, 0.057227, 1
pthread, 100, 100, 24, 0, 0.077586, 1
pthread, 100, 100, 1, 1, 0.008753, 1
pthread, 100, 100, 2, 1, 0.005356, 1
pthread, 100, 100, 4, 1, 0.004058, 1
pthread, 100, 100, 8, 1, 0.005069, 1
pthread, 100, 100, 16, 1, 0.005910, 1
pthread, 100, 100, 24, 1, 0.007531, 1
pthread, 100, 100, 1, 2, 0.012160, 1
pthread, 100, 100, 2, 2, 0.008089, 1
pthread, 100, 100, 4, 2, 0.006176, 1
pthread, 100, 100, 8, 2, 0.008342, 1
pthread, 100, 100, 16, 2, 0.009925, 1
pthread, 100, 100, 24, 2, 0.013549, 1
pthread, 1000, 100, 1, 0, 0.846600, 1
pthread, 1000, 100, 2, 0, 0.537565, 1
pthread, 1000, 100, 4, 0, 0.288634, 1
pthread, 1000, 100, 8, 0, 0.213154, 1
pthread, 1000, 100, 16, 0, 0.158804, 1
pthread, 1000, 100, 24, 0, 0.162880, 1
pthread, 1000, 100, 1, 1, 0.812971, 1
pthread, 1000, 100, 2, 1, 0.413167, 1
pthread, 1000, 100, 4, 1, 0.226370, 1
pthread, 1000, 100, 8, 1, 0.179878, 1
pthread, 1000, 100, 16, 1, 0.120838, 1
pthread, 1000, 100, 24, 1, 0.095325, 1
pthread, 1000, 100, 1, 2, 1.226125, 1
pthread, 1000, 100, 2, 2, 0.625273, 1
pthread, 1000, 100, 4, 2, 0.414294, 1
pthread, 1000, 100, 8, 2, 0.265491, 1
pthread, 1000, 100, 16, 2, 0.152055, 1
pthread, 1000, 100, 24, 2, 0.126665, 1
pthread, 10000, 100, 4, 0, 22.661427, 1
pthread, 10000, 100, 8, 0, 14.261958, 1
pthread, 10000, 100, 16, 0, 11.509391, 1
pthread, 10000, 100, 24, 0, 7.901652, 1
pthread, 10000, 100, 4, 1, 22.408664, 1
pthread, 10000, 100, 8, 1, 11.592130, 1
pthread, 10000, 100, 16, 1, 11.351132, 1
pthread, 10000, 100, 24, 1, 7.776366, 1
pthread, 10000, 100, 4, 2, 33.667507, 1
pthread, 10000, 100, 8, 2, 17.324320, 1
pthread, 10000, 100, 16, 2, 13.995063, 1
pthread, 10000, 100, 24, 2, 9.537391, 1
pthread, 100000, 100, 8, 0, 1156.962800, 1
pthread, 100000, 100, 16, 0, 878.466339, 1
pthread, 100000, 100, 24, 0, 770.176862, 1
pthread, 100000, 100, 8, 1, 1151.077168, 1
pthread, 100000, 100, 16, 1, 874.805391, 1
pthread, 100000, 100, 24, 1, 766.516877, 1
pthread, 100000, 100, 8, 2, 1722.068115, 1
pthread, 100000, 100, 16, 2, 1208.428711, 1
pthread, 100000, 100, 24, 2, 953.110413, 1
openmp, 100, 100, 1, 0, 0.024474, 1
openmp, 100, 100, 2, 0, 0.008635, 1
openmp, 100, 100, 4, 0, 0.006584, 1
openmp, 100, 100, 8, 0, 0.004472, 1
openmp, 100, 100, 16, 0, 0.004327, 1
openmp, 100, 100, 24, 0, 0.345345, 1
openmp, 1000, 100, 1, 0, 1.427507, 1
openmp, 1000, 100, 2, 0, 0.839148, 1
openmp, 1000, 100, 4, 0, 0.403707, 1
openmp, 1000, 100, 8, 0, 0.263962, 1
openmp, 1000, 100, 16, 0, 0.222550, 1
openmp, 1000, 100, 24, 0, 0.569689, 1
openmp, 10000, 100, 4, 0, 38.134682, 1
openmp, 10000, 100, 8, 0, 25.509295, 1
openmp, 10000, 100, 16, 0, 18.699974, 1
openmp, 10000, 100, 24, 0, 18.445520, 1
openmp, 100000, 100, 8, 0, 2121.112793, 1
openmp, 100000, 100, 16, 0, 1261.661865, 1
openmp, 100000, 100, 24, 0, 1220.236938, 1
